"materialsar","materialsen","quantityar","quantityen","quarterar","quarteren","yearar","yearen","average_pricesar","average_pricesen"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2017","2017","1100","1100"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2017","2017","1250","1250"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2017","2017","829.17","829.17"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2017","2017","925","925"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2017","2017","562.5","562.5"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2017","2017","2.22","2.22"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2017","2017","2.41","2.41"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2017","2017","2.63","2.63"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2017","2017","3.43","3.43"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2017","2017","3.64","3.64"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2017","2017","3.91","3.91"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2017","2017","245.42","245.42"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2017","2017","250.42","250.42"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2017","2017","1937.5","1937.5"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2017","2017","1903.33","1903.33"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2017","2017","57.07","57.07"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2017","2017","79.5","79.5"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2017","2017","95.07","95.07"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2017","2017","15.17","15.17"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2017","2017","14.64","14.64"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2017","2017","34.21","34.21"
"الجير","Lime","","","Q3","Q3","2017","2017","18","18"
"الجبس","Gypsum","","","Q3","Q3","2017","2017","8.81","8.81"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2017","2017","1062.5","1062.5"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2017","2017","1125","1125"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2017","2017","1262.5","1262.5"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2017","2017","800","800"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2017","2017","912.5","912.5"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2017","2017","562.5","562.5"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2017","2017","2.3","2.3"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2017","2017","2.48","2.48"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2017","2017","2.72","2.72"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2017","2017","3.43","3.43"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2017","2017","3.86","3.86"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2017","2017","3.97","3.97"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2017","2017","244.58","244.58"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2017","2017","249.58","249.58"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2017","2017","2235.42","2235.42"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2017","2017","2191.33","2191.33"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2017","2017","60.67","60.67"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2017","2017","83","83"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2017","2017","102.73","102.73"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2017","2017","15.13","15.13"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2017","2017","14.67","14.67"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2017","2017","34.21","34.21"
"الجير","Lime","","","Q4","Q4","2017","2017","18","18"
"الجبس","Gypsum","","","Q4","Q4","2017","2017","8.71","8.71"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2017","2017","1062.5","1062.5"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2017","2017","1125","1125"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2017","2017","1262.5","1262.5"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2017","2017","800","800"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2017","2017","912.5","912.5"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2017","2017","562.5","562.5"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2017","2017","2.29","2.29"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2017","2017","2.47","2.47"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2017","2017","2.71","2.71"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2017","2017","3.36","3.36"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2017","2017","3.88","3.88"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2017","2017","3.93","3.93"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2017","2017","243.75","243.75"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2017","2017","248.75","248.75"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2017","2017","2325.94","2325.94"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2017","2017","2271.58","2271.58"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2017","2017","63.98","63.98"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2017","2017","85.58","85.58"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2017","2017","111.25","111.25"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2018","2018","15.62","15.62"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2018","2018","14.91","14.91"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2018","2018","35.78","35.78"
"الجير","Lime","","","Q1","Q1","2018","2018","18.64","18.64"
"الجبس","Gypsum","","","Q1","Q1","2018","2018","9.15","9.15"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2018","2018","1155.00","1155.00"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2018","2018","1204.88","1204.88"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2018","2018","1325.63","1325.63"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2018","2018","866.25","866.25"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2018","2018","984.38","984.38"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2018","2018","616.88","616.88"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2018","2018","2.52","2.52"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2018","2018","2.66","2.66"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2018","2018","2.87","2.87"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2018","2018","3.31","3.31"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2018","2018","3.75","3.75"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2018","2018","3.95","3.95"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2018","2018","263.38","263.38"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2018","2018","267.17","267.17"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2018","2018","2699.38","2699.38"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2018","2018","2623.63","2623.63"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2018","2018","73.57","73.57"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2018","2018","98.67","98.67"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2018","2018","127.16","127.16"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2018","2018","15.36","15.36"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2018","2018","14.61","14.61"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2018","2018","35.78","35.78"
"الجير","Lime","","","Q2","Q2","2018","2018","18.64","18.64"
"الجبس","Gypsum","","","Q2","Q2","2018","2018","9.00","9.00"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2018","2018","1254.75","1254.75"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2018","2018","1304.62","1304.62"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2018","2018","1437.19","1437.19"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2018","2018","866.25","866.25"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2018","2018","1118.94","1118.94"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2018","2018","637.88","637.88"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2018","2018","2.52","2.52"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2018","2018","2.70","2.70"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2018","2018","2.91","2.91"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2018","2018","3.40","3.40"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2018","2018","3.75","3.75"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2018","2018","3.99","3.99"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2018","2018","263.81","263.81"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2018","2018","267.75","267.75"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2018","2018","2613.52","2613.52"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2018","2018","2567.69","2567.69"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2018","2018","71.21","71.21"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2018","2018","97.77","97.77"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2018","2018","122.64","122.64"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2018","2018","15.62","15.62"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2018","2018","14.79","14.79"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2018","2018","35.78","35.78"
"الجير","Lime","","","Q3","Q3","2018","2018","18.64","18.64"
"الجبس","Gypsum","","","Q3","Q3","2018","2018","8.90","8.90"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2018","2018","1222.38","1222.38"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2018","2018","1304.63","1304.63"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2018","2018","1437.19","1437.19"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2018","2018","866.25","866.25"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2018","2018","1099.69","1099.69"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2018","2018","641.00","641.00"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2018","2018","2.54","2.54"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2018","2018","2.74","2.74"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2018","2018","2.96","2.96"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2018","2018","3.49","3.49"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2018","2018","3.83","3.83"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2018","2018","4.04","4.04"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2018","2018","263.81","263.81"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2018","2018","267.75","267.75"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2018","2018","2498.13","2498.13"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2018","2018","2444.40","2444.40"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2018","2018","73.86","73.86"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2018","2018","97.08","97.08"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2018","2018","119.95","119.95"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2018","2018","15.53","15.53"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2018","2018","14.50","14.50"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2018","2018","36.18","36.18"
"الجير","Lime","","","Q4","Q4","2018","2018","18.64","18.64"
"الجبس","Gypsum","","","Q4","Q4","2018","2018","8.80","8.80"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2018","2018","1245.71","1245.71"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2018","2018","1304.63","1304.63"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2018","2018","1437.19","1437.19"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2018","2018","877.50","877.50"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2018","2018","1127.60","1127.60"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2018","2018","716.04","716.04"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2018","2018","2.47","2.47"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2018","2018","2.69","2.69"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2018","2018","2.94","2.94"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2018","2018","3.42","3.42"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2018","2018","3.80","3.80"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2018","2018","3.97","3.97"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2018","2018","266.00","266.00"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2018","2018","267.17","267.17"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2018","2018","2303.55","2303.55"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2018","2018","2246.23","2246.23"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2018","2018","65.33","65.33"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2018","2018","93.39","93.39"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2018","2018","118.72","118.72"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2019","2019","16.41","16.41"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2019","2019","14.93","14.93"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2019","2019","36.40","36.40"
"الجير","Lime","","","Q1","Q1","2019","2019","15.75","15.75"
"الجبس","Gypsum","","","Q1","Q1","2019","2019","8.28","8.28"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2019","2019","1207.50","1207.50"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2019","2019","1207.50","1207.50"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2019","2019","1338.75","1338.75"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2019","2019","840.00","840.00"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2019","2019","1101.67","1101.67"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2019","2019","560.83","560.83"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2019","2019","2.18","2.18"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2019","2019","2.39","2.39"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2019","2019","2.60","2.60"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2019","2019","3.23","3.23"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2019","2019","3.47","3.47"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2019","2019","3.65","3.65"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2019","2019","266.32","266.32"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2019","2019","264.25","264.25"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2019","2019","2353.02","2353.02"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2019","2019","2156.03","2156.03"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2019","2019","61.02","61.02"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2019","2019","88.78","88.78"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2019","2019","112.23","112.23"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2019","2019","16.14","16.14"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2019","2019","14.70","14.70"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2019","2019","36.40","36.40"
"الجير","Lime","","","Q2","Q2","2019","2019","15.75","15.75"
"الجبس","Gypsum","","","Q2","Q2","2019","2019","7.82","7.82"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2019","2019","1207.50","1207.50"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2019","2019","1207.50","1207.50"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2019","2019","1338.75","1338.75"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2019","2019","840.00","840.00"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2019","2019","1101.67","1101.67"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2019","2019","560.83","560.83"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2019","2019","2.18","2.18"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2019","2019","2.39","2.39"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2019","2019","2.60","2.60"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2019","2019","3.23","3.23"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2019","2019","3.46","3.46"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2019","2019","3.65","3.65"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2019","2019","253.75","253.75"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2019","2019","253.98","253.98"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2019","2019","2300.38","2300.38"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2019","2019","2136.46","2136.46"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2019","2019","59.73","59.73"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2019","2019","86.92","86.92"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2019","2019","108.50","108.50"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2019","2019","16.14","16.14"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2019","2019","14.64","14.64"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2019","2019","36.40","36.40"
"الجير","Lime","","","Q3","Q3","2019","2019","15.75","15.75"
"الجبس","Gypsum","","","Q3","Q3","2019","2019","7.70","7.70"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2019","2019","1161.39","1161.39"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2019","2019","1161.39","1161.39"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2019","2019","1331.69","1331.69"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2019","2019","798.89","798.89"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2019","2019","1075.00","1075.00"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2019","2019","548.61","548.61"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2019","2019","2.18","2.18"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2019","2019","2.39","2.39"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2019","2019","2.60","2.60"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2019","2019","3.23","3.23"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2019","2019","3.46","3.46"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2019","2019","3.65","3.65"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2019","2019","251.48","251.48"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2019","2019","254.92","254.92"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2019","2019","2231.25","2231.25"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2019","2019","2089.56","2089.56"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2019","2019","59.27","59.27"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2019","2019","84.17","84.17"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2019","2019","107.13","107.13"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2019","2019","15.89","15.89"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2019","2019","14.18","14.18"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2019","2019","36.40","36.40"
"الجير","Lime","","","Q4","Q4","2019","2019","15.75","15.75"
"الجبس","Gypsum","","","Q4","Q4","2019","2019","7.70","7.70"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2019","2019","1138.33","1138.33"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2019","2019","1138.33","1138.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2019","2019","1318.17","1318.17"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2019","2019","763.33","763.33"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2019","2019","1061.67","1061.67"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2019","2019","542.50","542.50"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2019","2019","2.18","2.18"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2019","2019","2.39","2.39"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2019","2019","2.60","2.60"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2019","2019","3.23","3.23"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2019","2019","3.47","3.47"
